"","Plot","perc.canopy.open","log.light","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","lma","log.lma","log.lmf","new.rgr.h","log.rgr.h","log.mean.thick","log.ssl","log.lar1","log.smf","log.rmf","Comp.1","Comp.2","Comp.3"
"1",101,2.86,0.352915541,136.59875,0.1725,12.41830065,74.33945578,0.544217687,0.208163265,0.247619048,"KNEMFU",0.182321557,0.007320711,2.135833508,1.228631414,1.182321557,0.090958315,0.340970314,-1.331731806,-0.053787057,-1.517785025,-0.440930813,0.484960989966138,0.125959842897918,-2.22217762133561
"2",101,2.86,0.352915541,214.1944444,0.183666667,27.23214286,64.09808811,0.29925187,0.341645885,0.359102244,"DIOSXI",0.125163143,0.004668655,0.560535697,-0.033278733,1.125163143,-0.416054254,0.550219029,-0.399236307,-0.347982769,-0.005212941,0.612301567,0.484960989966138,0.125959842897918,-2.22217762133561
"3",101,2.86,0.352915541,276.9444444,0.148666667,48.33333333,102.0321637,0.368421053,0.385964912,0.245614035,"PSEUIN",0.349557476,0.003610832,-0.339225866,0.405474965,1.349557476,1.44461314,-0.155054726,0.282088593,0.57467993,0.367156008,-0.463967,0.484960989966138,0.125959842897918,-2.22217762133561
"4",101,2.86,0.352915541,190.75,0.274,35.22727273,11.73846154,0.061538462,0.676923077,0.261538462,"DIOSHA",0.040821995,0.005242464,0.966481904,-3.370492289,1.040821995,-1.213300013,1.884619607,-0.093534299,-3.717200691,2.082316656,-0.285970553,0.484960989966138,0.125959842897918,-2.22217762133561
"5",101,2.86,0.352915541,249.5833333,0.2125,25,64.17857143,0.257142857,0.30952381,0.433333333,"PITTKE",0.171850257,0.004006678,0.025059618,-0.353267153,1.171850257,-6.52e-05,1.036666192,-0.500798105,-0.345492213,-0.306656836,1.144704373,0.484960989966138,0.125959842897918,-2.22217762133561
"6",101,2.86,0.352915541,310.65,0.15,149.0909091,42.84827586,0.137931034,0.379310345,0.482758621,"DERRTH",0.133531393,0.003219057,-0.741422904,-1.667535192,1.133531393,-0.34023707,-0.125269217,1.619785468,-1.147343353,0.31406053,1.450742382,0.484960989966138,0.125959842897918,-2.22217762133561
"7",101,2.86,0.352915541,268.9,0.149,76.36363636,52.89836066,0.196721311,0.540983607,0.262295082,"POMETO",0.109484233,0.003718855,-0.23599807,-0.918415485,1.109484233,-0.559637092,-0.14758338,0.825256036,-0.729140528,1.39794922,-0.27778537,0.484960989966138,0.125959842897918,-2.22217762133561
"8",102,1.9,-0.495152872,255.927451,0.129333333,35.73170732,66.25532995,0.258883249,0.416243655,0.324873096,"PARACH",0.129211731,0.003907357,-0.062842967,-0.339034433,1.129211731,-0.379303479,-0.619798648,-0.076649867,-0.282284462,0.597725225,0.32846921,3.52575188169942,-1.34368161513352,0.99179520850494
"9",102,1.9,-0.495152872,180.8086957,0.314666667,14.60526316,69.31,0.383333333,0.38,0.236666667,"CAPPFO",0.131852131,0.005530707,1.153919908,0.489196278,1.131852131,-0.355406358,2.346268292,-1.139098587,-0.19282479,0.319606241,-0.569111989,3.52575188169942,-1.34368161513352,0.99179520850494
"10",102,1.9,-0.495152872,252.1222222,0.171333333,16.4375,120.839645,0.479289941,0.315581854,0.205128205,"SAPRTE",0.16034265,0.00396633,-0.010383876,0.96057032,1.16034265,-0.101039958,0.318331658,-0.998750023,0.910454425,-0.247482002,-0.974342856,3.52575188169942,-1.34368161513352,0.99179520850494
"11",102,1.9,-0.495152872,298.2037037,0.17,15.41666667,40.74130297,0.136622391,0.481973435,0.381404175,"DIOSXI",0,0.003353412,-0.598228603,-1.68764967,1,-1.622688441,0.292269378,-1.074891095,-1.247420964,1.045337834,0.783023098,3.52575188169942,-1.34368161513352,0.99179520850494
"12",201,3.39,0.705458425,231.8677083,0.243666667,13.72807018,79.66007157,0.343558282,0.383435583,0.273006135,"BACCRA",0.09531018,0.004312804,0.282892627,0.258050446,1.09531018,-0.691196065,1.493222247,-1.21265456,0.083412756,0.347083625,-0.164379582,1.39039783504891,1.05908003431443,-0.207165998904121
"13",201,3.39,0.705458425,169.8188679,0.2375,5.314353499,34.71706847,0.204435873,0.406460945,0.389103182,"DYSOHO",0.130620182,0.005888627,1.373516277,-0.837251911,1.130620182,-0.366549251,1.407709889,-2.33967602,-1.565004366,0.52511795,0.839649078,1.39039783504891,1.05908003431443,-0.207165998904121
"14",201,3.39,0.705458425,252.4076923,0.19,32.05479452,30.01189024,0.118902439,0.385670732,0.495426829,"LITSDI",0.083381609,0.003961844,-0.014346764,-1.980764659,1.083381609,-0.803239262,0.663313075,-0.205607852,-1.854060543,0.364828205,1.524136558,1.39039783504891,1.05908003431443,-0.207165998904121
"15",201,3.39,0.705458425,253.075,0.231,111.4285714,32.65483871,0.129032258,0.451612903,0.419354839,"PITTKE",0,0.003951398,-0.023592855,-1.80825351,1,-1.622688441,1.315137433,1.27400379,-1.686547944,0.846704344,1.051796528,1.39039783504891,1.05908003431443,-0.207165998904121
"16",201,3.39,0.705458425,261.4,0.2295,118.3333333,42.38918919,0.162162162,0.486486486,0.351351351,"PARACH",0.122602322,0.003825555,-0.136936173,-1.32604758,1.122602322,-0.439368262,1.293404751,1.34540131,-1.168723293,1.07379137,0.550474796,1.39039783504891,1.05908003431443,-0.207165998904121
"17",201,3.39,0.705458425,284.8138889,0.158,29.53125,128.3668232,0.450704225,0.300469484,0.248826291,"SAPRTE",0.15415068,0.003511065,-0.437346649,0.830817552,1.15415068,-0.155787232,0.048066126,-0.302984215,1.030388648,-0.397294225,-0.427150229,1.39039783504891,1.05908003431443,-0.207165998904121
"18",201,3.39,0.705458425,226.6875,0.164333333,30.52631579,99.7425,0.44,0.2375,0.3225,"SYZYLA",0.175890666,0.004411359,0.362017334,0.780100546,1.175890666,0.035152709,0.179175332,-0.263628712,0.529633349,-1.115273948,0.307695885,1.39039783504891,1.05908003431443,-0.207165998904121
"19",202,3.92,1.006684843,282.5861111,0.152666667,16.26582278,60.70197993,0.214808788,0.454027665,0.331163548,"PSEUIN",0.053345981,0.003538744,-0.409847275,-0.732820083,1.053345981,-1.090915975,-0.06648435,-1.011218299,-0.456029603,0.862984698,0.382808044,3.78135449725645,0.607194268386625,0.10160232051558
"20",202,3.92,1.006684843,327.6283333,0.1905,14.74522293,81.00700549,0.247252747,0.431318681,0.321428571,"CANATO",0.110000895,0.003052239,-0.927771216,-0.436022574,1.110000895,-0.554873406,0.672080373,-1.127772683,0.116691558,0.706336938,0.298266807,3.78135449725645,0.607194268386625,0.10160232051558
